name;area of expertise;topic;keywords;date;preferred city
Christien Bowman;PhD Researcher;University of Antwerp – Bio Imaging Lab;Neuroscience & Drug Development;17/04/2023;Antwerp
Christine Yung Hung;PostDoc Lecturer and Researcher;Ghent University;Behavioral science, food consumer, public health nutrition, experimental economics;09/05/2019;​
Christine Yung Hung;PostDoc Lecturer and Researcher;Ghent University;To improve consumers' food choice in a way that matches with their preference,;13/05/2019;​
Christophe Barrea;Service Universitaire de Neuropédiatrie;CHR/CHU de Liège;Perturbateurs endocriniens;20/04/2019;​
Christophe Mincke;Researcher;Institut National de Criminalistique et de Criminologie;Criminology, mobility;04/03/2019;Leuven
Christophe Ringeval;Associate Professor;Université Catholique de Louvain;Cosmology, Universe and Relativity;04/03/2019;Brussels
Claessens Benjamin;post-doctoral researcher;Ghent University;chemical engineering;05/08/2022;not set
Claude Semay;Professeur;UMONS;Physique nucléaire et subnucléaire;19/04/2019;​
Cleo Goyvaerts;Postdoctoraal onderzoeker bij het labo voor Moleculaire en Cellulaire Therapie;Vrije Universiteit Brussel, Faculteit Geneeskunde en Farmacie;ANTI-TUMOR IMMUNE THERAPY, cancer, gene therapy;20/04/2019;Leuven
Cole Johnston;Ph.D student, member of an ERC-funded team;KU Leuven;Astronomy: Stellar pulsations and big data;08/04/2019;Brussels
Céline Smekens;;University of Antwerp, Faculty of Sciences;Magnetic resonance images: just pretty pictures, or is there more to it?;13/04/2019;Ostend
Damien Neyens;PhD student in immuno-oncology;UCLouvain, de Duve Institute;Immunology, Immuno-oncology, anti-tumor immune response;22/05/2019;Leuven
Daniel Pérez Lozano;Postdoctoral researcher;IMEC-KU Leuven;Are our bank accounts, national secrets or on-line communications safe? No, of course, if the person trying to get this information has a quantum computer at hand. Daniel Perez, from IMEC will tell us about quantum computers, how this novel technology has promised to revolutionize cryptography, chemistry and logistic, and how we are building one of these computers in Leuven.;18/04/2022;Brussels
Daphne Chylinski;PhD student;Université de Liège;Good Sleep, Healthy Aging;01/09/2020;​
David Cannella;Ass. Professor;ULB, PhotoBioCatalysis Unit;Biofuels;30/04/2021;Leuven
David DOCQUIER;Postdoctoral Researcher;UCLouvain;Modeling of Arctic sea ice and its interactions with the ocean;11/04/2019;Leuven
David Eelbode;;University of Antwerp, Faculty of Sciences;How boring can a number actually be?;13/04/2019;Ostend
Deepak Mehta;Responsible long term partnerships;Technopolis;Makerspaces, hacking concepts, technology curator;18/03/2019;​
Deepshika Arasu;PhD Candidate;Poietis;Stem cells, organoids, mini brains;21/03/2022;Leuven
Devang Mehta;Assistant Professor;Leuven Plant Institute, KU Leuven;Plants on the move: resetting the plant circadian clock for a changing planet;17/04/2023;Brussels
Diana Campillo Davó;Postdoctoral researcher;University of Antwerp;Cancer immunotherapy;22/04/2022;​
Diana Campillo-Davo;Postdoc researcher;University of Antwerp;Cancer immunotherapy;17/03/2022;Leuven
Didier Coeurnelle;Co-président;Heales (healthy Life Extension Society);Healthy longevity;14/04/2019;Leuven
Dirk Jacobs;Professor in sociology , ERC Grantee;Université Libre de Bruxelles;Sociology, ethnic relations, migration, education, equality;01/05/2019;Leuven
Dominic Bowman;Postdoctoral Researcher, member of an ERC-funded team;Institute of Astronomy, KU Leuven;Asteroseismology of intermediate- and high-mass stars;23/04/2019;Brussels
Dr Aaron Torres Huerta;Nanomaterials scientist;Université libre de Bruxelles;TBD;01/05/2022;Leuven
Dr Ignace Adant;Senior Researcher;Earth and Life Institute, Université Catholique de Louvain;Environmental and socio economic analysis of urban systems;31/08/2020;​
Dr. Peter Landschützer;Klimaatonderzoeker en onderzoeksdirecteur, Vlaams Instituut voor de Zee (VLIZ);;;20/04/2023;​
Dr. Soetin Vervust;Landschapsarcheologe, Vrije Universiteit Brussel – Multidisciplinary Archaeological Research Institute (VUB – MARI);;;20/04/2023;not set
